name,CPU Speed,CPU Type,Size (Main Display),Resolution (Main Display),Technology (Main Display),Color Depth (Main Display),Rear Camera - Resolution,Rear Camera - Auto Focus,Front Camera - Resolution,Rear Camera - Flash,Video Recording Resolution,Memory_(GB),Storage (GB),Available Storage (GB),External Storage Support,2G GSM,3G UMTS,4G FDD LTE,4G TDD LTE,USB Version,Location Technology,Earjack,MHL,Wi-Fi,Wi-Fi Direct,Bluetooth Version,NFC,Bluetooth Profiles,PC Sync.,OS,Form Factor,Sensors,"Dimension (HxWxD, mm)",Weight (g),"Battery Capacity (mAh, Typical)",Removable,Video Playing Format,Video Playing Resolution,Audio Playing Format,Gear Support,S-Voice,Mobile TV
Galaxy Tab A7 Lite LTE,"2.3GHz, 1.8GHz",Octa-Core,"8.7"" (220.5mm)",1340 x 800 (WXGA+),TFT,16M,8.0 MP,Yes,2.0 MP,No,FHD (1920 x 1080) @30fps,3,32,19.5,MicroSD (Up to 1TB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B20(800), B28(700), B66(AWS-3)","B38(2600), B39(1900), B40(2300), B41(2500)",USB 2.0,"GPS, Glonass, Beidou, Galileo",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v5.0,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android,Tablet,"Accelerometer, Geomagnetic Sensor, Light Sensor",212.5 x 124.7 x 8.0,371,5100,No,"MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA","Galaxy Buds Pro, Galaxy Buds Live, Galaxy Buds+, Galaxy Buds, Gear IconX (2018)",No,No
Galaxy Tab A8 LTE,2GHz,Octa-Core,"10.5"" (266.9mm)",1920 x 1200 (WUXGA),TFT,16M,8.0 MP,Yes,5.0 MP,No,FHD (1920 x 1080) @30fps,4,64,47.5,MicroSD (Up to 1TB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B20(800), B28(700), B66(AWS-3)","B38(2600), B40(2300), B41(2500)",USB 2.0,"GPS, Glonass, Galileo, QZSS",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v5.0,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android,Tablet,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor",161.9 x 246.8 x 6.9,508,7040,No,"MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA","Galaxy Buds Pro, Galaxy Buds Live, Galaxy Buds+, Galaxy Buds2, Galaxy Buds, Gear IconX (2018)",,No
"Galaxy Tab A (8.0"", 2019) LTE",2GHz,Quad-Core,"8.0"" (203.1 mm)",1280 x 800 (WXGA),TFT,16M,8.0 MP,Yes,2.0 MP,No,FHD (1920 x 1080) @30fps,2,32,21.3,MicroSD (Up to 512GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B20(800), B28(700)","B38(2600), B40(2300), B41(2500)",USB 2.0,"GPS, Glonass, Beidou, Galileo",3.5mm Stereo,No,802.11 a/b/g/n 2.4+5GHz,Yes,Bluetooth v4.2,No,"A2DP, AVRCP, DI, HID, HOGP, HSP, OPP, PAN",Smart Switch (PC version),Android,Tablet,"Accelerometer, Light Sensor",210.0 x 124.4 x 8.0,347,5100,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab A (2019, 10.1"")","1.8GHz, 1.6GHz",Octa-Core,"10.1"" (255.4 mm)",1920 x 1200 (WUXGA),TFT,16M,8.0 MP,Yes,5.0 MP,No,FHD (1920 x 1080) @30fps,2,32,23.6,MicroSD (Up to 512GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B20(800), B28(700), B66(AWS-3)","B38(2600), B40(2300)",USB 2.0,"GPS, Glonass, Beidou, Galileo",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v5.0 (LE up to 2 Mbps),No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android,Tablet,Accelerometer,245.2 x 149.4 x 7.5,470,6150,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA","Galaxy Buds, Gear IconX (2018)",No,No
"Galaxy Tab A (10.5"")  <br>  <br> ",1.8GHz,Octa-Core,"10.5"" (267.2 mm)",1920 x 1200 (WUXGA),TFT,16M,8.0 MP,Yes,5.0 MP,Yes,FHD (1920 x 1080) @30fps,3,32,21.9,MicroSD (Up to 400GB),,,,,USB 2.0,"GPS, Glonass, Beidou",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v4.2,No,"A2DP, AVRCP, DI, HID, HOGP, HSP, OPP, PAN",Smart Switch (PC version),Android,Tablet,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, RGB Light Sensor",260.0 x 161.1 x 8.0,529,,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab A (10.5"") ",1.8GHz,Octa-Core,"10.5"" (267.2 mm)",1920 x 1200 (WUXGA),TFT,16M,8.0 MP,Yes,5.0 MP,Yes,FHD (1920 x 1080) @30fps,3,32,22.2,MicroSD (Up to 400GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B20(800), B28(700), B66(AWS-3)","B38(2600), B40(2300)",USB 2.0,"GPS, Glonass, Beidou",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v4.2,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android,Tablet,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, RGB Light Sensor",260.0 x 161.1 x 8.0,534,,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab E (9.6"")",1.3GHz,Quad-Core,"9.6"" (243.4mm)",1280 x 800 (WXGA),TFT,16M,CMOS 5.0 MP,Yes,CMOS 2.0 MP,No,HD (1280 x 720) @30fps,,8 GB,4.9 GB,MicroSD (Up to 128GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B8(900)",,,USB 2.0,"GPS, Glonass",3.5mm Stereo,No,802.11 b/g/n 2.4GHz,Yes,Bluetooth v4.0,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Kies,Android,Tablet,Accelerometer,241.9 x 149.5 x 8.5,495,,No,"MP4, M4V, 3GP, 3G2, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab E (9.6"")",1.3GHz,Quad-Core,"9.6"" (243.4mm)",1280 x 800 (WXGA),TFT,16M,CMOS 5.0 MP,Yes,CMOS 2.0 MP,No,HD (1280 x 720) @30fps,,8 GB,5 GB,MicroSD (Up to 128GB),,,,,USB 2.0,"GPS, Glonass",3.5mm Stereo,No,802.11 b/g/n 2.4GHz,Yes,Bluetooth v4.0,No,"A2DP, AVRCP, DI, HID, HOGP, HSP, OPP, PAN",Kies,Android,Tablet,Accelerometer,241.9 x 149.5 x 8.5,490,,No,"MP4, M4V, 3GP, 3G2, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
Galaxy Tab Active 2,1.6GHz,Octa-Core,"8.0"" (203.1 mm)",1280 x 800 (WXGA),TFT,16M,8.0 MP,Yes,5.0 MP,Yes,FHD (1920 x 1080) @30fps,3,16 GB,9.5 GB,MicroSD (Up to 256GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)","B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B17(700), B20(800), B28(700)","B38(2600), B40(2300)",USB 2.0,"GPS, Glonass, Beidou",3.5mm Stereo,No,802.11 a/b/g/n/ac 2.4+5GHz,Yes,Bluetooth v4.2,Yes,"A2DP, AVRCP, HFP, HID, HOGP, HSP, MAP, OPP, PAN",Smart Switch (PC version),Android,Tablet,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Proximity Sensor, RGB Light Sensor",127.6 x 214.7 x 9.9,419,,Yes,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DSF",,No,No
"Galaxy Tab A (10.1"")",1.6GHz,Octa-Core,"10.1"" (255.4 mm)",1920 x 1200 (WUXGA),TFT,16M,CMOS 8.0 MP,Yes,CMOS 2.0 MP,Yes,FHD (1920 x 1080) @30fps,,16 GB,10.5 GB,MicroSD (Up to 256GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850), B8(900)","B1(2100), B3(1800), B5(850), B7(2600), B8(900), B20(800)",,USB 2.0,"GPS, Glonass, Beidou",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v4.2,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),,Tablet,"Accelerometer, Hall Sensor, RGB Light Sensor",254.3 x 164.2 x 8.2,558,,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab A (10.1"")",1.6GHz,Octa-Core,"10.1"" (255.4 mm)",1920 x 1200 (WUXGA),TFT,16M,CMOS 8.0 MP,Yes,CMOS 2.0 MP,Yes,FHD (1920 x 1080) @30fps,,16 GB,10.5 GB,MicroSD (Up to 200GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850), B8(900)","B1(2100), B3(1800), B5(850), B7(2600), B8(900), B20(800)",B40(2300),USB 2.0,"GPS, Glonass, Beidou",3.5mm Stereo,No,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",Yes,Bluetooth v4.2,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android 6.0,Tablet,"Accelerometer, Hall Sensor, RGB Light Sensor",254.2 x 155.3 x 8.2,525,,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
"Galaxy Tab A (7.0"")",1.5GHz,Quad-Core,"7.0"" (177.7 mm)",1280 x 800 (WXGA),TFT,16M,CMOS 5.0 MP,Yes,CMOS 2.0 MP,No,HD (1280 x 720) @30fps,,8 GB,4.3 GB,MicroSD (Up to 200GB),"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850), B8(900)","B1(2100), B3(1800), B5(850), B7(2600), B8(900), B20(800)",B40(2300),USB 2.0,"GPS, Glonass",3.5mm Stereo,No,802.11 b/g/n 2.4GHz,Yes,Bluetooth v4.0,No,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",Smart Switch (PC version),Android 5.1,Tablet,Accelerometer,186.9 x 108.8 x 8.7,289,,No,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",FHD (1920 x 1080) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",,No,No
