brand,url,name,price,image,model,waterProof,batteryType,chargeTime,BTVersion,BTRange,usbCompatability,micTech,sdCard
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-optima-sound-bar
","audionic optima sound bar
","Rs  5,299",https://images.priceoye.pk/audionic-optima-sound-bar-pakistan-priceoye-xk9wx-500x500.webp,Audionic Optima Sound Bar,N/A,2400mAh,N/A,v5.0,N/A,Yes,N/A,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/mi-outdoor-bluetooth-speaker
","mi outdoor bluetooth speaker
","Rs  4,449",https://images.priceoye.pk/mi-outdoor-bluetooth-speaker-pakistan-priceoye-21ew4-500x500.webp,COCO C7,No,1200 mAh Rechargeable Battery,3 to 4 Hours,V5.0,10m,Yes,Yes,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-sugar-8-speaker-with-torch
","audionic sugar 8 speaker with torch
","Rs  1,799",https://images.priceoye.pk/audionic-sugar-8-speaker-with-torch-pakistan-priceoye-6snbc-500x500.webp,Sugar 8+,N/A,Rechargeable,1 hour,V5.0,10m,No,No,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-solo-x50-bluetooth-speaker
","audionic solo x50 bluetooth speaker
","Rs  6,199",https://images.priceoye.pk/audionic-solo-x50-bluetooth-speaker-pakistan-priceoye-futvi-500x500.webp,Solo X50,NO,Yes,1.5 hours,NA,10,yes,yes,yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-glow-mobile-speaker
","audionic glow mobile speaker
","Rs  1,199",https://images.priceoye.pk/audionic-glow-mobile-speaker-pakistan-priceoye-lfvow-500x500.webp,GLOW,N/A,N/A,1.5 Hrs,V5.1,"20Hz - 20,000Hz",Yes,N/A,N/A
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-yoyo-bluetooth-speaker
","audionic yoyo bluetooth speaker
","Rs  1,599",https://images.priceoye.pk/audionic-yoyo-bluetooth-speaker-pakistan-priceoye-bfked-500x500.webp,YOYO,NO,Lithium,1.5 hours,5.1,10,yes,yes,yes
airox,"https://priceoye.pk/bluetooth-speakers/airox/airox-portable-bluetooth-wireless-speaker-hy3
","airox portable bluetooth wireless speaker hy3
","Rs  1,299",https://images.priceoye.pk/airox-portable-bluetooth-wireless-speaker-hy3-pakistan-priceoye-6mi2b-500x500.webp,HY3,N/A,1500mAh,N/A,v5.0,N/A,Yes,Yes,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-akasaki-bluetooth-speaker
","audionic akasaki bluetooth speaker
","Rs  1,299",https://images.priceoye.pk/audionic-akasaki-bluetooth-speaker-pakistan-priceoye-iedgt-500x500.webp,Akasaki,N/A,N/A,1 Hrs,V5.0,N/A,N/A,Yes,Micro–SD Card.
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-mh-801-bluetooth-speaker
","audionic mh 801 bluetooth speaker
","Rs  9,599",https://images.priceoye.pk/audionic-mh-801-bluetooth-speaker-pakistan-priceoye-eibne-500x500.webp,Mh801,No,Lithium,3 hours,NA,10,yes,yes,yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-milan-mobile-speaker
","audionic milan mobile speaker
","Rs  1,299",https://images.priceoye.pk/audionic-milan-mobile-speaker-pakistan-priceoye-l6n68-500x500.webp,Milan Mobile,NO,NA,1.5 hours,5.1,10,yes,NA,yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-hummer-h9-bluetooth-speaker
","audionic hummer h9 bluetooth speaker
","Rs  4,999",https://images.priceoye.pk/audionic-hummer-h9-bluetooth-speaker-pakistan-priceoye-6cfkh-500x500.webp,Hummer H9,NO,Lithium,1.5 hours,5.0,10,yes,yes,yes
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-bluetooth-speaker-s31
","itel bluetooth speaker s31
","Rs  2,899",https://images.priceoye.pk/itel-bluetooth-speaker-s31-pakistan-priceoye-l1w2a-500x500.webp,IBS-31,N/A,1200mAh,N/A,v5.0,N/A,Yes,N/A,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-fendi-bluetooth-speaker
","audionic fendi bluetooth speaker
","Rs  1,799",https://images.priceoye.pk/audionic-fendi-bluetooth-speaker-pakistan-priceoye-13o5e-500x500.webp,FENDI,No,N/A,1 Hrs,V5.0,N/A,Yes,N/A,N/A
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-lyon-bluetooth-speaker
","audionic lyon bluetooth speaker
","Rs  1,649",https://images.priceoye.pk/audionic-lyon-bluetooth-speaker-pakistan-priceoye-r1q9a-500x500.webp,Lyon,N/A,N/A,1.5 Hrs,V5.1,"20Hz - 20,000Hz",N/A,N/A,N/A
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-bluetooth-speaker-s51
","itel bluetooth speaker s51
","Rs  3,799",https://images.priceoye.pk/itel-bluetooth-speaker-s51-pakistan-priceoye-gamqp-500x500.webp,IBS-51,N/A,1800mAh,N/A,v5.0,N/A,Yes,N/A,Yes
airox,"https://priceoye.pk/bluetooth-speakers/airox/airox-portable-bluetooth-wireless-speaker-extreme
","airox portable bluetooth wireless speaker extreme
","Rs  1,899",https://images.priceoye.pk/airox-portable-bluetooth-wireless-speaker-extreme-pakistan-priceoye-54j76-500x500.webp,Extreme,N/A,1200mAh,N/A,v5.0,N/A,Yes,Yes,Yes
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-sound-star-ll-itl-zbs304
","itel sound star ll itl zbs304
","Rs  2,349",https://images.priceoye.pk/itel-sound-star-ll-itl-zbs304-pakistan-priceoye-m7n50-500x500.webp,ITL-ZBS304,N/A,800mAh,N/A,v5.0,N/A,Yes,Yes,Yes
infinix,"https://priceoye.pk/bluetooth-speakers/infinix/infinix-beat-bluetooth-speaker
","infinix beat bluetooth speaker
","Rs  3,049",https://images.priceoye.pk/infinix-beat-bluetooth-speaker-pakistan-priceoye-bqugd-500x500.webp,Beat,Yes,N/A,1.5 Hrs,V5.0,10m,N/A,Yes,N/A
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-sound-super-star-itl-311k
","itel sound super star itl 311k
","Rs  4,899",https://images.priceoye.pk/itel-sound-super-star-itl-311k-pakistan-priceoye-wixzu-500x500.webp,ITL-311K,N/A,1500mAh,N/A,v5.0,N/A,Yes,Yes,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-boss-2-mobile-speaker
","audionic boss 2 mobile speaker
","Rs  1,249",https://images.priceoye.pk/audionic-boss-2-mobile-speaker-pakistan-priceoye-i2uyk-500x500.webp,Boss 2,NO,Lithium,1.5 hours,5.0,10,no,NA,NA
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-tv-plus-mini-soundbar-itl-sb310
","itel tv plus mini soundbar itl sb310
","Rs  3,099",https://images.priceoye.pk/itel-tv-plus-mini-soundbar-itl-sb310-pakistan-priceoye-0baqz-500x500.webp,ITL-SB310,N/A,1500mAh,N/A,v5.0,N/A,Yes,Yes,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-rome-mobile-speaker
","audionic rome mobile speaker
","Rs  1,449",https://images.priceoye.pk/audionic-rome-mobile-speaker-pakistan-priceoye-3eiw8-500x500.webp,ROME,N/A,N/A,1.5 Hrs,V5.1,"20Hz - 20,000Hz",Yes,Yes,N/A
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-air-station-mobile-speaker
","audionic air station mobile speaker
","Rs  1,449",https://images.priceoye.pk/audionic-air-station-speaker-pakistan-priceoye-of37z-500x500.webp,Air Station,N/A,500 mAh,2 hours,N/A,10 m,Yes,N/A,TF Card Clot
lenovo,"https://priceoye.pk/bluetooth-speakers/lenovo/lenovo-thinkplus-bt-k30-bluetooth-speaker
","lenovo thinkplus bt k30 bluetooth speaker
","Rs  1,599",https://images.priceoye.pk/lenovo-thinkplus-bt-k30-bluetooth-speaker-pakistan-priceoye-ccmah-500x500.webp,null,NO,Lithium,1.5 hours,5.0,10,no,NA,NA
ronin,"https://priceoye.pk/bluetooth-speakers/ronin/ronin
","ronin
","Rs  5,299",https://images.priceoye.pk/ronin-pakistan-priceoye-z7dl7-500x500.webp,R-3500,N/A,1200 mAh,7 Hours,V5.0,10m,Yes,Yes,Yes
ronin,"https://priceoye.pk/bluetooth-speakers/ronin/ronin-sound-beam-bluetooth-wireless-speaker-r-7500
","ronin sound beam bluetooth wireless speaker r 7500
","Rs  4,395",https://images.priceoye.pk/ronin-sound-beam-bluetooth-wireless-speaker-r-7500-pakistan-priceoye-4gvgs-500x500.webp,R-7500,No,2400 mAh lithium-polymer battery,2.5 Hours,V5.0,N/A,Yes,Yes,Micro–SD Card.
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-mehfil-mh-808-bluetooth-speakers
","audionic mehfil mh 808 bluetooth speakers
","Rs  11,499",https://images.priceoye.pk/audionic-mehfil-mh-808-bluetooth-speakers-pakistan-priceoye-wt0o1-500x500.webp,MH808,NO,Lithium,4 hours,NA,10,yes,yes,yes
ronin,"https://priceoye.pk/bluetooth-speakers/ronin/ronin-music-minibox-wireless-speaker
","ronin music minibox wireless speaker
","Rs  1,645",https://images.priceoye.pk/ronin-music-minibox-wireless-speaker-pakistan-priceoye-o23h5-500x500.webp,R-6500,Yes,800 mAh,1.5 Hours,V5.0,10m,No,Yes,No
ronin,"https://priceoye.pk/bluetooth-speakers/ronin/ronin-mini-portable-wireless-speaker
","ronin mini portable wireless speaker
","Rs  3,599",https://images.priceoye.pk/ronin-mini-portable-wireless-speaker-pakistan-priceoye-wp5n3-500x500.webp,R-3200,Yes,500 mAh,1-2 Hours,V5.0,10m,No,Yes,No
ronin,"https://priceoye.pk/bluetooth-speakers/ronin/ronin-party-booster-wireless-speaker-r-4500
","ronin party booster wireless speaker r 4500
","Rs  2,495",https://images.priceoye.pk/ronin-party-booster-wireless-speaker-r-4500-pakistan-priceoye-r5z9y-500x500.webp,R-4500,Yes,1800 mAh,2 hours,V5.0,10m,No,Yes,No
soundpeats,"https://priceoye.pk/bluetooth-speakers/soundpeats/soundpeats-hal
","soundpeats hal
","Rs  4,699",https://images.priceoye.pk/soundpeats-hal-pakistan-priceoye-jhk3i-500x500.webp,Halo,IPX4,Li-ion Polymer,About 4 Hours,V5.0,10 meter,NO,NO,NO
itel,"https://priceoye.pk/bluetooth-speakers/itel/itel-sound-star-itl-j401
","itel sound star itl j401
","Rs  1,899",https://images.priceoye.pk/itel-sound-star-itl-j401-pakistan-priceoye-i3go1-500x500.webp,ITL-J401,N/A,800mAh,N/A,v5.0,N/A,Yes,N/A,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-solo-x5-portable-speaker
","audionic solo x5 portable speaker
","Rs  1,199",https://images.priceoye.pk/audionic-solo-x5-portable-speaker-pakistan-priceoye-fqod7-500x500.webp,SOLO X5,N/A,Rechargable Battery,1 hour,V5.0,10m,Yes,No,Yes
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-coco-c7-bluetooth-speakers
","audionic coco c7 bluetooth speakers
","Rs  1,299",https://images.priceoye.pk/audionic-coco-c7-bluetooth-speakers-pakistan-priceoye-of4x7-500x500.webp,COCO C7,No,N/A,40 mints,V5.0,N/A,Yes,Yes,Micro–SD Card 32 GB
audionic,"https://priceoye.pk/bluetooth-speakers/audionic/audionic-bluetooth-chargeable-speaker
","audionic bluetooth chargeable speaker
","Rs  1,249",https://images.priceoye.pk/audionic-bluetooth-chargeable-speaker-pakistan-priceoye-sjz6d-500x500.webp,LIbra,N/A,N/A,40 mints,V5.0,N/A,Yes,N/A,Micro–SD Card.
airox,"https://priceoye.pk/bluetooth-speakers/airox/airox-mini-bluetooth-speaker-001
","airox mini bluetooth speaker 001
",Rs  999,https://images.priceoye.pk/airox-mini-bluetooth-speaker-001-pakistan-priceoye-luyxd-500x500.webp,001,N/A,N/A,1.5 Hrs,V 4.1,"20Hz - 20,000Hz",N/A,Yes,N/A
