brand,url,name,price,image,releaseDate,simSupport,dimensions,weight,os,screenSize,resolution,screenType,screenProtection,internalMemory,ram,cardSlot,processor,gpu,battery,frontCamera,frontFlash,frontVideoRec,backCamera,backFlash,backVideRec,bluetooth,3G,4G\LTE,radio,wifi,nfc
samsung,"https://priceoye.pk/tablets/samsung/samsung-tab-a7
","samsung tab a7
","Rs  43,999",https://images.priceoye.pk/samsung-tab-a7-pakistan-priceoye-9pm7h-500x500.webp,2021-11-17,Nano-SIM,212.5 x 124.7 x 8 mm,371 g,Android 11,8.7 inches,800 x 1340,TFT,N/A,32GB,3GB,microSDXC (dedicated slot),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,"Li-Po 5100 mAh, non-removable",2 MP,No,Yes,8.0 MP,No,Yes,v5.0,Yes,Yes,No,Yes,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-9-wifi-10-2-inches
","apple ipad 9 wifi 10 2 inches
","Rs  89,999",https://images.priceoye.pk/apple-ipad-9-wifi-10-2-inches-pakistan-priceoye-maftq-500x500.webp,2021-09-09,No,250.6 x 174.1 x 7.5 mm,487 g,iPadOS 15,10.2 inches,1620 x 2160 pixels,"Retina IPS LCD, 500 nits (typ)","Scratch-resistant glass, oleophobic coating",64 GB,3 GB,No,Apple A13 Bionic (7 nm+),Apple GPU (4-core graphics),"Li-Ion, non-removable 8557 mAh",12 MP,No,"1080p@25/30/60fps, gyro-EIS",8 MP,No,"1080p@25/30fps, 720p@120fps; gyro-EIS",N/A,No,No,No,Yes,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-10
","apple ipad 10
","Rs  122,999",https://images.priceoye.pk/apple-ipad-10-pakistan-priceoye-v0ym4-500x500.webp,2022-03-08,No,248.6 x 179.5 x 7 mm,481 g,"iPadOS 15.4, up to iPadOS 15.5",10.9 inches,2360 x 1640,Scratch-resistant glass,oleophobic coating,64GB,4 GB,No,A14 Bionic chip,Octa-core,"Li-Ion (28.6 Wh), non-removable",12MP,N/A,1080p and 720p,12 MP,N/A,4K,5.2,No,No,No,YES,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-air-5
","apple ipad air 5
","Rs  227,499",https://images.priceoye.pk/apple-ipad-air-5-pakistan-priceoye-zw5ue-500x500.webp,2022-03-08,No,247.6 x 178.5 x 6.1 mm,461 g,iPadOS 15.4,10.9 inches,1640 x 2360 pixels,"Liquid Retina IPS LCD, 500 nits (typ)","Scratch-resistant glass, oleophobic coating",64/256 GB,8 GB,No,Apple M1,N/A,"Li-Ion (28.6 Wh), non-removable",12 MP,No,1080p@30/60fps,12 MP,No,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS",Yes,No,No,No,Yes,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-pro-11-m2-wifi
","apple ipad pro 11 m2 wifi
","Rs  242,999",https://images.priceoye.pk/apple-ipad-pro-11-m2-128gb-wifi-pakistan-priceoye-ba7e4-500x500.webp,2022-10-18,No,N/A,N/A,iPadOS,11 inches,2388 x 1668,Full-Touch,N/A,128 GB / 256 GB,8 GB,N/A,Apple M2 Chip,"10-core GPU, 16-core Neural Engine",N/A,12 MP,N/A,N/A,12 MP,N/A,N/A,Yes,No,No,N/A,YES,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-a9plus-x210
","samsung galaxy tab a9plus x210
","Rs  58,999",https://images.priceoye.pk/samsung-galaxy-tab-a9plus-x210-pakistan-priceoye-jbgxh-500x500.webp,2023-10-17,No,257.1 x 168.7 x 6.9 mm,480 g,Android 11,10.0-inch,1200 x 1920 pixels,TFT,N/A,64GB,4GB RAM,microSDXC,Qualcomm SM6375 Snapdragon 695,2×2.2 GHz Kryo 660,7040 mAh non-removable Li-Po battery,5 MP,N/A,N/A,8 MP,N/A,1080p videos at 30fps,Yes,No,No,No,YES,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-pro-wifi-12-9-inches
","apple ipad pro wifi 12 9 inches
","Rs  335,999",https://images.priceoye.pk/apple-ipad-pro-wifi-12-9-inches-pakistan-priceoye-qg1n3-500x500.webp,2021-05-21,No,280.6 x 214.9 x 6.4 mm,682 g,iPadOS 14.5.1,12.9 inches,2048 x 2732 pixels,Liquid Retina XDR Display,"Scratch-resistant glass, oleophobic coating",128/256/512/1TB /2TB,8/16 GB,No,Apple M2,Apple GPU (8-core graphics),"Li-Po (40.88 Wh), non-removable",12 MP,No,"1080p@25/30/60fps, gyro-EIS",12 MP + 10 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS",Yes,No,No,No,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-a9-x110
","samsung galaxy tab a9 x110
","Rs  37,999",https://images.priceoye.pk/samsung-galaxy-tab-a9-x110-pakistan-priceoye-gqv6u-500x500.webp,2024-02-01,No,N/A,332 g,Android 13,8.7 inches,800 x 1340 pixels,TFT LCD,N/A,64GB,4GB,No,Octa-core,N/A,Li-Po Non removable,2 MP,N/A,N/A,8 MP,N/A,N/A,Yes,No,No,N/A,YES,N/A
apple,"https://priceoye.pk/tablets/apple/apple-ipad-pro-11-inches-2021
","apple ipad pro 11 inches 2021
","Rs  267,999",https://images.priceoye.pk/apple-ipad-pro-11-inches-2021-pakistan-priceoye-6efd4-500x500.webp,2021-05-21,N/A,247.6 x 178.5 x 5.9 mm,466 g,iPadOS 14.5.1,11 inches,1668 x 2388,Liquid Retina IPS LCD,Scratch-resistant glass - oleophobic coating - Wide color gamut - True-tone,128/256/512/1TB /2TB,8/16 GB,No,Apple M1,Apple GPU (8-core graphics),Li-Po 7538 mAh non-removable,12 MP,No,1080p@25/30/60fps,12 MP + 10MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps",Yes,No,No,No,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-a8
","samsung galaxy tab a8
","Rs  56,499",https://images.priceoye.pk/samsung-galaxy-tab-a8-pakistan-priceoye-mr76c-500x500.webp,2021-11-17,No,246.8 x 161.9 x 6.9 mm,508 g,"Android 11, One UI 3",10.5 inches,1200 x 1920,TFT,N/A,32GB,3GB,MicroSDXC,Octa-core,Mali G52 MP2,"Li-Po 7040 mAh, non-removable",5 MP,No,1080p@30fps,8 MP,No,1080p@30fps,v5.0,No,No,No,Wi-Fi 802.11,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-a8-10-5-inches-x205
","samsung galaxy tab a8 10 5 inches x205
","Rs  60,999",https://images.priceoye.pk/samsung-galaxy-tab-a8-10-5-inches-x205-pakistan-priceoye-4hi2e-500x500.webp,2022-01-17,Nano-SIM,246.8 x 161.9 x 6.9 mm,508 g,Android 11,10.5 inches,1200 x 1920 pixels,TFT Screen,N/A,32 GB,3 GB,microSDXC (dedicated slot),Octa-core (2×2.0 GHz Cortex-A75 & 6×2.0 GHz Cortex-A55),Mali G52 MP2,"Li-Po 7040 mAh, non-removable",5 MP,No,1080p@30fps,8 MP,No,1080p@30fps,Yes,Yes,Yes,No,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s8-x900
","samsung galaxy tab s8 x900
","Rs  244,499",https://images.priceoye.pk/samsung-galaxy-tab-s8-x900-pakistan-priceoye-yh093-500x500.webp,2022-04-30,Nano-SIM,326.4 x 208.6 x 5.5mm,726 g,"Android 12, upgradable to Android 13, One UI 5",14.6 inches,1848 x 2960 pixels,Super AMOLED,Corning Gorilla Glass 5,128 GB,8 GB,microSDXC,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,Li-Po 11200 mAh,12 MP,N/A,"4K@30/60fps, 1080p@30fps",13 MP,Yes,"4K@30/60fps, 1080p@30fps",Yes,Yes,YES,No,YES,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s9-fe-wifi-x510
","samsung galaxy tab s9 fe wifi x510
","Rs  129,999",https://images.priceoye.pk/samsung-galaxy-tab-s9-fe-wifi-x510-pakistan-priceoye-g73t5-500x500.webp,2023-10-06,No,254.3 x 165.8 x 6.5 mm,523 g,"Android 13, upgradable to Android 14",10.9 inches,1440 x 2304 pixels,IPS LCD,N/A,128 GB,6 GB,Yes,Octa-core,N/A,8000 mAh Li-Ion (Lithium Ion),8 MP,N/A,N/A,12 MP,N/A,N/A,Yes,No,No,N/A,YES,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s9plus-x810
","samsung galaxy tab s9plus x810
","Rs  275,499",https://images.priceoye.pk/samsung-galaxy-tab-s9plus-x810-pakistan-priceoye-ckc4u-500x500.webp,2023-10-17,No,11.23 x 7.3 x 0.22,N/A,Android 13,12.4″,16:10,OLED,N/A,512 GB,12GB,microSDXC,Qualcomm Snapdragon 8 Gen 2,Not Specified by Manufacturer,Li-Po battery,12 MP Sensor,N/A,N/A,13 MP Sensor,N/A,N/A,Yes,No,N/A,N/A,YES,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s9
","samsung galaxy tab s9
","Rs  209,499",https://images.priceoye.pk/samsung-galaxy-tab-s9-pakistan-priceoye-2plem-500x500.webp,2023-10-17,No,165.8 W x 5.9 D x 254.3 H mm.,N/A,Android 13,11 inches,2560 x 1600,Super AMOLED,N/A,128 GB,8 GB,microSDXC,Octa-Core processor.,Octa-Core processor.,Li-Po battery,13 MP,N/A,N/A,13 MP,N/A,N/A,Yes,No,N/A,N/A,YES,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s8-ultra-x906
","samsung galaxy tab s8 ultra x906
","Rs  258,499",https://images.priceoye.pk/samsung-galaxy-tab-s8-ultra-x906-pakistan-priceoye-81wa0-500x500.webp,2022-02-09,Nano-SIM,326.4 x 208.6 x 5.5 mm,726 g,"Android 12, upgradable to Android 14, One UI 6",14.6 inches,1848 x 2960 pixels,Super AMOLED,Corning Gorilla Glass 5,256 GB SSD,12GB,microSDXC,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,Li-Po battery,"12 MP, f/2.2, 26mm (wide)",N/A,"4K@30/60fps, 1080p@30fps","13 MP, f/2.0, 26mm (wide), 1/3.4",N/A,"4K@30/60fps, 1080p@30fps",Yes,Yes,YES,No,YES,No
dany,"https://priceoye.pk/tablets/dany/dany-signature-s8
","dany signature s8
","Rs  28,799",https://images.priceoye.pk/dany-signature-s8-pakistan-priceoye-6kqeg-500x500.webp,2021-11-17,Single SIM,N/A,N/A,Android 10,8.0 Inches,1280 x 800,IPS Display,No,64GB,4GB,Yes,Octa-core 1.6G Processor,N/A,3500 mAh,5.0 MP,No,Yes,8.0 MP,Yes,Yes,Yes,Yes,Yes,FM Radio,Yes,No
dany,"https://priceoye.pk/tablets/dany/dany-genius-max5
","dany genius max5
","Rs  17,299",https://images.priceoye.pk/dany-genius-max5-pakistan-priceoye-jxrpd-500x500.webp,2021-11-17,Dual Sim,N/A,N/A,Android 7.0,7 Inches,N/A,IPS Display,N/A,16GB,1GB,Yes,Quad Core Processor,N/A,2800 mAh,N/A,No,Yes,2MP,Yes,Yes,Yes,Yes,No,FM Radio,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s9ultra-x910
","samsung galaxy tab s9ultra x910
","Rs  326,499",https://images.priceoye.pk/samsung-galaxy-tab-s9ultra-x910-pakistan-priceoye-2tl1j-500x500.webp,2023-06-25,No,326.4 x 208.6 x 5.5mm,0.73 kg,Android 13,14.6 inches,2960 x 1848 pixels,WQXGA+,Gorilla Glass,512 GB,12GB,MicroSD (TransFlash),Qualcomm Snapdragon,Qualcomm 3.36 GHz,Li-Po battery,12 MP,N/A,N/A,13 MP,N/A,N/A,Yes,No,N/A,N/A,YES,N/A
dany,"https://priceoye.pk/tablets/dany/dany-monster-4g-lte
","dany monster 4g lte
","Rs  18,299",https://images.priceoye.pk/dany-monster-4g-lte-pakistan-priceoye-7r6kp-500x500.webp,2021-11-17,Dual Sim,N/A,N/A,Android 9.0 Pie,7 inch,1024 x 600,IPS Display,No,16GB,2GB,Yes,Quad-Core 1.3GHz,N/A,"Li-Po 2200 mAh, Non-removable",Yes,No,Yes,5 MP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s6-lite-10-4-inches-p613
","samsung galaxy tab s6 lite 10 4 inches p613
","Rs  87,499",https://images.priceoye.pk/samsung-galaxy-tab-s6-lite-10-4-inches-p613-pakistan-priceoye-rd1bi-500x500.webp,2022-05-23,No,244.5 x 154.3 x 7 mm,467 g,"Android 12, upgradable to Android 13, One UI 5",10.4 inches,1200 x 2000 pixels,TFT LCD,N/A,64GB,4GB RAM,microSDXC,Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),Adreno 618,7040 mAh,5 MP,N/A,1080p@30fps,8 MP,N/A,1080p,5.0,No,No,No,YES,No
dany,"https://priceoye.pk/tablets/dany/dany-monster-4g-ultra-tablet
","dany monster 4g ultra tablet
","Rs  19,899",https://images.priceoye.pk/dany-monster-4g-ultra-tablet-pakistan-priceoye-h237h-500x500.webp,2021-11-17,YES,188.6*108*8.7 mm,300g,Android 10 OreaTM,7 inches,1024 x 600,IPS LCD,N/A,32GB,3GB,microSDXC,Quad Core,N/A,Lithium Ion batteries,2 .0 MP,N/A,N/A,5 MP,Yes,N/A,5.0,Yes,YES,YES,YES,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-tab-a7-lite-8-7-inches-t220
","samsung tab a7 lite 8 7 inches t220
","Rs  36,999",https://images.priceoye.pk/samsung-tab-a7-lite-8-7-inches-t220-pakistan-priceoye-9b23x-500x500.webp,2021-11-17,No,212.5 x 124.7 x 8 mm,366 g,Android 11,8.7 inches,800 x 1340,TFT capacitive touchscreen,N/A,32GB,3GB,microSDXC (dedicated slot),Octa-core,PowerVR GE8320,Non-removable Li-Po 5100mAh,2 MP,No,1080p@30fps,8.0 MP,No,1080p@30fps,v5.0,No,No,FM Radio,Wi-Fi 802.11,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s8-x700
","samsung galaxy tab s8 x700
","Rs  182,999",https://images.priceoye.pk/samsung-galaxy-tab-s8-x700-pakistan-priceoye-ay60g-500x500.webp,2022-03-22,No,253.8 x 165.3 x 6.3 mm,503 g,"Android 12, One UI 4.1",11.0 inches,1600 x 2560 pixels,"TFT LCD, 120Hz",N/A,128 GB,8 GB,microSDXC,Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,"Li-Po 8000 mAh, non-removable","6 MP, f/2.2, (ultrawide)",N/A,"4K@30/60fps, 1080p@30fps","Double 13 MP, f/2.0, 26mm (wide), 1/3.4",Yes,"HDR, panorama",Yes,No,No,N/A,YES,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s8-plus-x800
","samsung galaxy tab s8 plus x800
","Rs  239,999",https://images.priceoye.pk/samsung-galaxy-tab-s8-plus-x800-pakistan-priceoye-072py-500x500.webp,2022-04-14,N/A,185x285x5.7mm,567g,Android 12 (Upgradable to Android 13),12.4 Inches,2800x1752 Pixels,Super Amoled Display,Corning Gorilla Glass 5,128GB,8GB,microSDXC (dedicated slot),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,10090mAh,Dual Camera,N/A,"4K@30/60fps, 1080p@30fps",Dual Camera,LED Flash,"4K@30/60fps, 1080p@30fps",v5.2,Yes,Yes,N/A,Yes,N/A
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-a8-10-5-inches-x205-with-warranty
","samsung galaxy tab a8 10 5 inches x205 with warranty
","Rs  79,999",https://images.priceoye.pk/samsung-galaxy-tab-a8-10-5-inches-x205-with-warranty-pakistan-priceoye-3bc4h-500x500.webp,2022-01-17,Nano-SIM,246.8 x 161.9 x 6.9 mm,508 g,Android 11,10.5 inches,1200 x 1920 pixels,TFT Screen,N/A,64GB,4GB RAM,microSDXC (dedicated slot),Octa-core (2×2.0 GHz Cortex-A75 & 6×2.0 GHz Cortex-A55),Mali G52 MP2,"Li-Po 7040 mAh, non-removable",5 MP,N/A,1080p@30fps,"8 MP, f/2.0, AF",N/A,1080p@30fps,Yes,Yes,YES,No,YES,No
apple,"https://priceoye.pk/tablets/apple/apple-ipad-mini-2021
","apple ipad mini 2021
","Rs  137,999",https://images.priceoye.pk/apple-ipad-mini-2021-pakistan-priceoye-o66vz-500x500.webp,2021-09-24,No,195.4 x 134.8 x 6.3 mm,293 g,iPadOS 15,8.3 inches,1488 x 2266 pixels,"Liquid Retina IPS LCD, 500 nits (typ)","Scratch-resistant Glass, Oleophobic coating ,Wide color gamut True-tone",64/256 GB,4 GB,No,Apple A15 Bionic (5 nm),Apple GPU (5-core),"Li-Ion, non-removable (19.3 Wh)",8 MP,No,"1080p@25/30/60fps, gyro-EIS",12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS",Yes,N/A,N/A,N/A,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-galaxy-tab-s6-lite-10-4-inches-p610
","samsung galaxy tab s6 lite 10 4 inches p610
","Rs  65,999",https://images.priceoye.pk/samsung-galaxy-tab-s6-lite-10-4-inches-p610-pakistan-priceoye-1wram-500x500.webp,2021-11-17,No,244.5 x 154.3 x 7 mm,467 g,Android 10,10.4 inches,1200 x 2000,TFT,No,64GB,4GB,microSDXC (dedicated slot),Octa-core,Mali-G72 MP3,"Li-Po 7040 mAh, non-removable",5.0 MP,No,1080p@30fps,8.0 MP,No,1080p@30fps,v5.0,No,No,No,Wi-Fi 802.11,No
nokia,"https://priceoye.pk/tablets/nokia/nokia-tab-t20
","nokia tab t20
","Rs  35,499",https://images.priceoye.pk/nokia-tab-t20-pakistan-priceoye-7rrym-500x500.webp,2021-11-02,N/A,247.6 x 157.5 x 7.8 mm,465 g,Android 11,10.4 inches,1200 x 2000 pixels,IPS LCD,Scratch-resistant glass,32/64 GB,3/4 GB,microSDXC (dedicated slot),Unisoc T610 (12 nm),Mali-G52 MP2,"Li-Po 8200 mAh, non-removable",5 MP,No,Yes,8 MP,Yes,1080p@30fps,Yes,Yes,Yes,Yes,Yes,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-tab-a7-10-4-inches-t505
","samsung tab a7 10 4 inches t505
","Rs  47,499",https://images.priceoye.pk/samsung-tab-a7-10-4-inches-t505-pakistan-priceoye-cw54o-500x500.webp,2021-11-17,Single SIM,157.4 x 247.6 x 7.0 mm,477,Android 10,10.4 inches,2000 x 1200 (WUXGA+),"TFT capacitive touchscreen, 16M colors",N/A,32GB,3GB,MicroSD (Up to 1TB),"Octa-Core 2GHz, 1.8GHz",N/A,7040 mAh Non-removable,5.0 MP,No,Yes,8.0 MP,No,FHD (1920 x 1080) @30fps,Bluetooth v5.0,Yes,Yes,No,Wifi 802.11,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-tab-s6-lite-10-4-inches-p615
","samsung tab s6 lite 10 4 inches p615
","Rs  76,499",https://images.priceoye.pk/samsung-tab-s6-lite-10-4-inches-p615-pakistan-priceoye-rsa9m-500x500.webp,2021-11-17,N/A,244.5 x 154.3 x 7 mm,467g,Android 10,10.4 inches,2000 x 1200,"TFT capacitive touchscreen, 16M colors",N/A,64GB,4GB,microSDXC,"Octa-Core 2.3GHz, 1.7GHz",N/A,"Li-Po 7040 mAh, non-removable",5.0 MP,No,1080p@30fps,8.0 MP,No,1080p@30fps,Bluetooth v5.0,Yes,Yes,No,Yes,No
oppo,"https://priceoye.pk/tablets/oppo/oppo-pad-air
","oppo pad air
","Rs  29,999",https://images.priceoye.pk/oppo-pad-air-pakistan-priceoye-2a1bg-500x500.webp,2022-06-01,N/A,245.1 x 154.8 x 6.9 mm,440 g,"Android 12, ColorOS 12",10.36 inches,1200 x 2000 pixels,Full-Touch,N/A,64 GB,4GB RAM,microSDXC,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,"Li-Po 7100 mAh, non-removable",5 MP,N/A,1080p@30fps,8 MP,N/A,1080p@30fps,Yes,Yes,YES,YES,YES,No
samsung,"https://priceoye.pk/tablets/samsung/samsung-tab-a-8-0-inches-t295
","samsung tab a 8 0 inches t295
","Rs  33,000",https://images.priceoye.pk/samsung-tab-a-8-0-inches-t295-pakistan-priceoye-gtnea-500x500.webp,2021-11-17,Nano-SIM,210 x 124.4 x 8 mm,347g,Android 9.0 (Pie),8.0 inches,800 x 1280,"TFT capacitive touchscreen, 16M colors",N/A,32GB,2GB,MicroSD (Up to 512GB),Quad-Core 2GHz,N/A,"Li-Po 5100 mAh, non-removable",2.0 MP,No,Yes,8.0 MP,No,Yes,Bluetooth v4.2,Yes,Yes,FM Radio,Yes,No
huawei,"https://priceoye.pk/tablets/huawei/huawei-mediapad-t3-10-inches
","huawei mediapad t3 10 inches
","Rs  28,699",https://images.priceoye.pk/huawei-mediapad-t3-10-inches-pakistan-priceoye-i5cim-500x500.webp,2017-01-01,Single SIM (Micro-SIM),229.8 x 159.8 x 8 mm,460 g,"Android 7.0 (Nougat), EMUI 5.1",9.6 inches,800 x 1280 pixels,IPS LCD,N/A,16/32 GB,2/3 GB,microSDXC (dedicated slot),Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 308,"Li-Ion 4800 mAh, non-removable",2 MP,No,Yes,5 MP,No,1080p@30fps,Yes,Yes,Yes,N/A,Yes,No
vivo,"https://priceoye.pk/tablets/vivo/vivo-pad
","vivo pad
","Rs  63,999",https://images.priceoye.pk/vivo-pad-pakistan-priceoye-o13jh-500x500.webp,2022-04-15,DUAL SIM,253.2 x 164.7 x 6.6 mm,489 g,ANDROID 12,11 inches,1600 x 2560,IPS,N/A,256 GB,8 GB,No,2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55,Adreno 650,Li-Ion (Lithium Ion),8MP,N/A,N/A,13MP+8MP,N/A,N/A,Yes,Yes,YES,N/A,YES,No
